Stage,Name,Client_Revenue,Region,Client_Domain,Existing_Customer,TCS_Revenue,TCS_Domain,TimeStamp,ID
Stage 1,A Plus Lawn Care,69276.24259314175,north america,Telecom,1,20184.602032683197,Assurance services,2021-01-29 20:44:41.394470,0
Stage 3,A Plus Lawn Care,69276.24259314175,north america,Telecom,1,20184.602032683197,Assurance services,2021-03-20 20:44:41.394470,0
Stage 11,A Plus Lawn Care,69276.24259314175,north america,Telecom,1,20184.602032683197,Assurance services,2021-05-09 20:44:41.394470,0
Stage 1,A+ Electronics,200114.86556014494,north america,BFSI,0,12880.0,Asset leverage solutions,2021-04-25 20:44:41.394470,1
Stage 8,A+ Electronics,200114.86556014494,north america,BFSI,0,12880.0,Asset leverage solutions,2021-06-14 20:44:41.394470,1
Stage 1,A+ Investments,96312.49248667956,europe,BFSI,1,6386.652167969862,IT infrastructure services,2020-09-18 20:44:41.394470,2
Stage 9,A+ Investments,96312.49248667956,europe,BFSI,1,6386.652167969862,IT infrastructure services,2020-11-07 20:44:41.394470,2
Stage 1,A21,201559.83120860494,north america,Retail & Distribution,1,8214.0,Cloud Infrastructure,2020-01-29 20:44:41.394470,3
Stage 2,A21,201559.83120860494,north america,Retail & Distribution,1,8214.0,Cloud Infrastructure,2020-03-19 20:44:41.394470,3
Stage 9,A21,201559.83120860494,north america,Retail & Distribution,1,8214.0,Cloud Infrastructure,2020-05-08 20:44:41.394470,3
Stage 1,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2020-11-25 20:44:41.394470,4
Stage 2,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2021-01-14 20:44:41.394470,4
Stage 3,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2021-03-05 20:44:41.394470,4
Stage 4,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2021-04-24 20:44:41.394470,4
Stage 5,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2021-06-13 20:44:41.394470,4
Stage 6,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2021-08-02 20:44:41.394470,4
Stage 7,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2021-09-21 20:44:41.394470,4
Stage 8,"Aaron'S, Inc.",112177.0,others,BFSI,1,19216.65337379332,Application development and maintenance,2021-11-10 20:44:41.394470,4
Stage 1,Abercrombie & Fitch,32155.0,middle east and africa,BFSI,1,13992.0,Assurance services,2021-05-25 20:44:41.394470,5
Stage 1,Abm Industries,170573.42279644636,north america,Manufacturing,1,6290.0,Cloud Infrastructure,2021-01-19 20:44:41.394470,6
Stage 2,Abm Industries,170573.42279644636,north america,Manufacturing,1,6290.0,Cloud Infrastructure,2021-03-10 20:44:41.394470,6
Stage 4,Abm Industries,170573.42279644636,north america,Manufacturing,1,6290.0,Cloud Infrastructure,2021-04-29 20:44:41.394470,6
Stage 5,Abm Industries,170573.42279644636,north america,Manufacturing,1,6290.0,Cloud Infrastructure,2021-06-18 20:44:41.394470,6
Stage 6,Abm Industries,170573.42279644636,north america,Manufacturing,1,6290.0,Cloud Infrastructure,2021-08-07 20:44:41.394470,6
Stage 7,Abm Industries,170573.42279644636,north america,Manufacturing,1,6290.0,Cloud Infrastructure,2021-09-26 20:44:41.394470,6
Stage 1,Abx Air,114556.97427535705,europe,BFSI,1,20002.71880666563,Engineering and Industrial services,2020-02-10 20:44:41.394470,7
Stage 9,Abx Air,114556.97427535705,europe,BFSI,1,20002.71880666563,Engineering and Industrial services,2020-03-31 20:44:41.394470,7
Stage 1,Ac Lens,196443.14810789571,europe,Hi-Tech,1,24044.221465708833,Application development and maintenance,2019-12-27 20:44:41.394470,8
Stage 9,Ac Lens,196443.14810789571,europe,Hi-Tech,1,24044.221465708833,Application development and maintenance,2020-02-15 20:44:41.394470,8
Stage 1,Access Asia,190035.73541255886,others,Others,0,10532.0,Application development and maintenance,2020-03-01 20:44:41.394470,9
Stage 9,Access Asia,190035.73541255886,others,Others,0,10532.0,Application development and maintenance,2020-04-20 20:44:41.394470,9
Stage 1,Acco Brands,67369.93167002208,UK,BFSI,1,10262.319375601151,Application development and maintenance,2021-04-30 20:44:41.394470,10
Stage 3,Acco Brands,67369.93167002208,UK,BFSI,1,10262.319375601151,Application development and maintenance,2021-06-19 20:44:41.394470,10
Stage 9,Acco Brands,67369.93167002208,UK,BFSI,1,10262.319375601151,Application development and maintenance,2021-08-08 20:44:41.394470,10
Stage 1,Accord Investments,157138.9495685675,north america,Energy & Utilities,0,18445.702895810915,Application development and maintenance,2020-06-22 20:44:41.394470,11
Stage 2,Accord Investments,157138.9495685675,north america,Energy & Utilities,0,18445.702895810915,Application development and maintenance,2020-08-11 20:44:41.394470,11
Stage 9,Accord Investments,157138.9495685675,north america,Energy & Utilities,0,18445.702895810915,Application development and maintenance,2020-09-30 20:44:41.394470,11
